from,to,Gd-152,Gd-154,Gd-155,Gd-156,Gd-157,Gd-158,Gd-160
144.666667,149.833333,6.1361E+00,1.5183E+00,1.6955E+02,5.9549E-01,6.8629E+02,3.5382E-01,5.2684E-02
149.833333,155,5.9887E+00,1.4767E+00,1.6617E+02,5.7765E-01,6.7279E+02,3.4359E-01,5.0992E-02
155,160.166667,5.8367E+00,1.4336E+00,1.6277E+02,5.5907E-01,6.5920E+02,3.3269E-01,4.9319E-02
160.166667,165.333333,5.6843E+00,1.3908E+00,1.5924E+02,5.4093E-01,6.4513E+02,3.2209E-01,4.7667E-02
165.333333,170.5,5.5213E+00,1.3470E+00,1.5506E+02,5.2332E-01,6.2834E+02,3.1162E-01,4.6001E-02
170.5,175.666667,5.3566E+00,1.3040E+00,1.5093E+02,5.0490E-01,6.1165E+02,3.0136E-01,4.4319E-02
175.666667,180.833333,5.1904E+00,1.2601E+00,1.4672E+02,4.8692E-01,5.9473E+02,2.9098E-01,4.2639E-02
180.833333,186,5.0227E+00,1.2158E+00,1.4245E+02,4.6910E-01,5.7754E+02,2.8020E-01,4.1016E-02
186,191.166667,4.8567E+00,1.1735E+00,1.3836E+02,4.5095E-01,5.6109E+02,2.6996E-01,3.9464E-02
191.166667,196.333333,4.6888E+00,1.1298E+00,1.3401E+02,4.3321E-01,5.4353E+02,2.5946E-01,3.7902E-02
196.333333,201.5,4.5206E+00,1.0867E+00,1.2944E+02,4.1592E-01,5.2510E+02,2.4928E-01,3.6392E-02
201.5,206.666667,4.3597E+00,1.0460E+00,1.2518E+02,3.9933E-01,5.0796E+02,2.3978E-01,3.4918E-02
206.666667,211.833333,4.1991E+00,1.0052E+00,1.2083E+02,3.8355E-01,4.9028E+02,2.3005E-01,3.3453E-02
211.833333,217,4.0352E+00,9.6489E-01,1.1623E+02,3.6786E-01,4.7167E+02,2.2076E-01,3.2051E-02
217,222.166667,3.8761E+00,9.2554E-01,1.1183E+02,3.5275E-01,4.5386E+02,2.1148E-01,3.0729E-02
222.166667,227.333333,3.7274E+00,8.8789E-01,1.0788E+02,3.3786E-01,4.3783E+02,2.0258E-01,2.9393E-02
227.333333,232.5,3.5771E+00,8.5131E-01,1.0389E+02,3.2318E-01,4.2169E+02,1.9416E-01,2.8111E-02
232.5,237.666667,3.4283E+00,8.1519E-01,9.9603E+01,3.0894E-01,4.0436E+02,1.8578E-01,2.6910E-02
237.666667,242.833333,3.2873E+00,7.8069E-01,9.5652E+01,2.9632E-01,3.8838E+02,1.7769E-01,2.5768E-02
242.833333,248,3.1486E+00,7.4730E-01,9.1687E+01,2.8291E-01,3.7234E+02,1.7000E-01,2.4628E-02
248,253.166667,3.0141E+00,7.1393E-01,8.7825E+01,2.7059E-01,3.5664E+02,1.6225E-01,2.3508E-02
253.166667,258.333333,2.8839E+00,6.8306E-01,8.4122E+01,2.5828E-01,3.4163E+02,1.5530E-01,2.2436E-02
258.333333,263.5,2.7611E+00,6.5316E-01,8.0776E+01,2.4684E-01,3.2809E+02,1.4836E-01,2.1410E-02
263.5,268.666667,2.6405E+00,6.2497E-01,7.7286E+01,2.3624E-01,3.1390E+02,1.4203E-01,2.0450E-02
268.666667,273.833333,2.5230E+00,5.9620E-01,7.4003E+01,2.2519E-01,3.0061E+02,1.3524E-01,1.9519E-02
273.833333,279,2.4151E+00,5.6977E-01,7.0858E+01,2.1515E-01,2.8788E+02,1.2917E-01,1.8635E-02
279,284.166667,2.3046E+00,5.4346E-01,6.7594E+01,2.0517E-01,2.7463E+02,1.2332E-01,1.7763E-02
284.166667,289.333333,2.1999E+00,5.1837E-01,6.4589E+01,1.9541E-01,2.6241E+02,1.1762E-01,1.6927E-02
289.333333,294.5,2.0998E+00,4.9466E-01,6.1823E+01,1.8576E-01,2.5119E+02,1.1222E-01,1.6118E-02
294.5,299.666667,2.0088E+00,4.7241E-01,5.9239E+01,1.7763E-01,2.4067E+02,1.0693E-01,1.5364E-02
299.666667,304.833333,1.9153E+00,4.5034E-01,5.6408E+01,1.6951E-01,2.2918E+02,1.0200E-01,1.4633E-02
304.833333,310,1.8275E+00,4.2911E-01,5.3918E+01,1.6117E-01,2.1914E+02,9.7198E-02,1.3956E-02
310,315.166667,1.7427E+00,4.0950E-01,5.1410E+01,1.5393E-01,2.0892E+02,9.2666E-02,1.3310E-02
315.166667,320.333333,1.6601E+00,3.9021E-01,4.8833E+01,1.4665E-01,1.9846E+02,8.8333E-02,1.2660E-02
320.333333,325.5,1.5864E+00,3.7218E-01,4.6826E+01,1.3995E-01,1.9032E+02,8.4031E-02,1.2094E-02
325.5,330.666667,1.5118E+00,3.5455E-01,4.4602E+01,1.3317E-01,1.8128E+02,8.0080E-02,1.1526E-02
330.666667,335.833333,1.4423E+00,3.3760E-01,4.2575E+01,1.2682E-01,1.7305E+02,7.6108E-02,1.0960E-02
335.833333,341,1.3688E+00,3.2085E-01,4.0365E+01,1.2032E-01,1.6406E+02,7.2417E-02,1.0433E-02
341,346.166667,1.3027E+00,3.0522E-01,3.8390E+01,1.1436E-01,1.5601E+02,6.8810E-02,9.9209E-03
346.166667,351.333333,1.2424E+00,2.9094E-01,3.6726E+01,1.0902E-01,1.4927E+02,6.5663E-02,9.4420E-03
351.333333,356.5,1.1865E+00,2.7705E-01,3.5255E+01,1.0359E-01,1.4329E+02,6.2368E-02,8.9746E-03
356.5,361.666667,1.1264E+00,2.6377E-01,3.3364E+01,9.8579E-02,1.3560E+02,5.9576E-02,8.5502E-03
361.666667,366.833333,1.0710E+00,2.5056E-01,3.1728E+01,9.3942E-02,1.2892E+02,5.6523E-02,8.1300E-03
366.833333,372,1.0201E+00,2.3910E-01,3.0272E+01,8.9538E-02,1.2302E+02,5.4040E-02,7.7290E-03
372,377.166667,9.6997E-01,2.2724E-01,2.8774E+01,8.5089E-02,1.1695E+02,5.1309E-02,7.3625E-03
377.166667,382.333333,9.2154E-01,2.1604E-01,2.7243E+01,8.1124E-02,1.1072E+02,4.8808E-02,6.9991E-03
382.333333,387.5,8.7620E-01,2.0544E-01,2.5884E+01,7.7347E-02,1.0520E+02,4.6438E-02,6.6555E-03
387.5,392.666667,8.3345E-01,1.9523E-01,2.4660E+01,7.3158E-02,1.0023E+02,4.4051E-02,6.3226E-03
392.666667,397.833333,7.9408E-01,1.8586E-01,2.3531E+01,6.9584E-02,9.5647E+01,4.1985E-02,6.0049E-03
397.833333,403,7.5563E-01,1.7662E-01,2.2418E+01,6.6148E-02,9.1134E+01,3.9862E-02,5.6988E-03
403,408.166667,7.1878E-01,1.6806E-01,2.1311E+01,6.2897E-02,8.6624E+01,3.7926E-02,5.4198E-03
408.166667,413.333333,6.8106E-01,1.5961E-01,2.0203E+01,5.9667E-02,8.2119E+01,3.6089E-02,5.1480E-03
413.333333,418.5,6.4924E-01,1.5166E-01,1.9257E+01,5.6663E-02,7.8297E+01,3.4178E-02,4.9001E-03
418.5,423.666667,6.1692E-01,1.4407E-01,1.8310E+01,5.3801E-02,7.4442E+01,3.2505E-02,4.6577E-03
423.666667,428.833333,5.8657E-01,1.3707E-01,1.7458E+01,5.1094E-02,7.0996E+01,3.0927E-02,4.4244E-03
428.833333,434,5.5801E-01,1.3027E-01,1.6627E+01,4.8491E-02,6.7620E+01,2.9366E-02,4.2090E-03
434,439.166667,5.2900E-01,1.2382E-01,1.5744E+01,4.5978E-02,6.4027E+01,2.7947E-02,3.9994E-03
439.166667,444.333333,5.0390E-01,1.1767E-01,1.4974E+01,4.3751E-02,6.0909E+01,2.6536E-02,3.7985E-03
444.333333,449.5,4.7920E-01,1.1178E-01,1.4256E+01,4.1578E-02,5.7995E+01,2.5205E-02,3.5970E-03
449.5,454.666667,4.5659E-01,1.0639E-01,1.3656E+01,3.9713E-02,5.5547E+01,2.3958E-02,3.4234E-03
454.666667,459.833333,4.3356E-01,1.0083E-01,1.2949E+01,3.7751E-02,5.2659E+01,2.2644E-02,3.2566E-03
459.833333,465,4.1054E-01,9.5521E-02,1.2236E+01,3.5733E-02,4.9756E+01,2.1470E-02,3.0947E-03
465,470.166667,3.9021E-01,9.0594E-02,1.1620E+01,3.3858E-02,4.7260E+01,2.0347E-02,2.9236E-03
470.166667,475.333333,3.6922E-01,8.6128E-02,1.0986E+01,3.2092E-02,4.4653E+01,1.9352E-02,2.7837E-03
475.333333,480.5,3.5165E-01,8.2074E-02,1.0433E+01,3.0624E-02,4.2387E+01,1.8513E-02,2.6528E-03
480.5,485.666667,3.3527E-01,7.7998E-02,9.9803E+00,2.9182E-02,4.0573E+01,1.7539E-02,2.5070E-03
485.666667,490.833333,3.1799E-01,7.4022E-02,9.4456E+00,2.7732E-02,3.8395E+01,1.6653E-02,2.3687E-03
490.833333,496,3.0197E-01,7.0458E-02,8.9795E+00,2.6394E-02,3.6499E+01,1.5907E-02,2.2560E-03
496,501.166667,2.8701E-01,6.6952E-02,8.5508E+00,2.4947E-02,3.4762E+01,1.5105E-02,2.1483E-03
501.166667,506.333333,2.7200E-01,6.3384E-02,8.0769E+00,2.3681E-02,3.2849E+01,1.4289E-02,2.0379E-03
506.333333,511.5,2.5794E-01,6.0072E-02,7.6664E+00,2.2332E-02,3.1180E+01,1.3554E-02,1.9300E-03
511.5,516.666667,2.4569E-01,5.7149E-02,7.3310E+00,2.1171E-02,2.9813E+01,1.2823E-02,1.8339E-03
*,*,*,*,Apollo-15 + 10% H2O,*,*,*,*
0,5.166667,6.7090E-01,9.2452E-02,4.3036E+01,1.2271E-02,1.7912E+02,8.4870E-03,1.8035E-03
5.166667,10.333333,2.1873E+00,2.9207E-01,1.4431E+02,3.2923E-02,5.9831E+02,2.3620E-02,4.9616E-03
10.333333,15.5,3.4784E+00,4.6108E-01,2.3060E+02,4.9964E-02,9.5607E+02,3.6231E-02,7.5312E-03
15.5,20.666667,4.5929E+00,6.0555E-01,3.0541E+02,6.3487E-02,1.2663E+03,4.6548E-02,9.6375E-03
20.666667,25.833333,5.5221E+00,7.2469E-01,3.6830E+02,7.3716E-02,1.5270E+03,5.4691E-02,1.1298E-02
25.833333,31,6.2488E+00,8.1726E-01,4.1761E+02,8.1510E-02,1.7315E+03,6.0806E-02,1.2531E-02
31,36.166667,6.8036E+00,8.8690E-01,4.5555E+02,8.6822E-02,1.8889E+03,6.4985E-02,1.3436E-02
36.166667,41.333333,7.2084E+00,9.3719E-01,4.8331E+02,9.0224E-02,2.0041E+03,6.7917E-02,1.4084E-02
41.333333,46.5,7.4901E+00,9.7243E-01,5.0292E+02,9.2668E-02,2.0853E+03,6.9997E-02,1.4482E-02
46.5,51.666667,7.6424E+00,9.9078E-01,5.1363E+02,9.3448E-02,2.1299E+03,7.0727E-02,1.4698E-02
51.666667,56.833333,7.7132E+00,9.9869E-01,5.1868E+02,9.3525E-02,2.1509E+03,7.0920E-02,1.4745E-02
56.833333,62,7.7232E+00,9.9881E-01,5.1981E+02,9.2914E-02,2.1555E+03,7.0556E-02,1.4692E-02
62,67.166667,7.6666E+00,9.9138E-01,5.1615E+02,9.1831E-02,2.1404E+03,6.9987E-02,1.4550E-02
67.166667,72.333333,7.5783E+00,9.7917E-01,5.1053E+02,8.9992E-02,2.1171E+03,6.8830E-02,1.4318E-02
72.333333,77.5,7.4502E+00,9.6199E-01,5.0205E+02,8.8463E-02,2.0819E+03,6.7509E-02,1.4038E-02
77.5,82.666667,7.3007E+00,9.4245E-01,4.9219E+02,8.6078E-02,2.0410E+03,6.6036E-02,1.3742E-02
82.666667,87.833333,7.1261E+00,9.1976E-01,4.8044E+02,8.4371E-02,1.9923E+03,6.4484E-02,1.3413E-02
87.833333,93,6.9392E+00,8.9514E-01,4.6794E+02,8.1581E-02,1.9405E+03,6.2531E-02,1.3021E-02
93,98.166667,6.7214E+00,8.6716E-01,4.5320E+02,7.9274E-02,1.8794E+03,6.0618E-02,1.2623E-02
98.166667,103.333333,6.5211E+00,8.4113E-01,4.3986E+02,7.6626E-02,1.8241E+03,5.8720E-02,1.2237E-02
103.333333,108.5,6.3085E+00,8.1338E-01,4.2553E+02,7.3849E-02,1.7646E+03,5.6644E-02,1.1820E-02
108.5,113.666667,6.0975E+00,7.8616E-01,4.1132E+02,7.1364E-02,1.7057E+03,5.4764E-02,1.1405E-02
113.666667,118.833333,5.8857E+00,7.5877E-01,3.9723E+02,6.8631E-02,1.6472E+03,5.2846E-02,1.0999E-02
118.833333,124,5.6707E+00,7.3063E-01,3.8261E+02,6.6320E-02,1.5866E+03,5.0748E-02,1.0594E-02
124,129.166667,5.4450E+00,7.0194E-01,3.6740E+02,6.3563E-02,1.5237E+03,4.8868E-02,1.0181E-02
129.166667,134.333333,5.2330E+00,6.7452E-01,3.5325E+02,6.1009E-02,1.4650E+03,4.6890E-02,9.7799E-03
134.333333,139.5,5.0255E+00,6.4759E-01,3.3917E+02,5.8715E-02,1.4065E+03,4.4940E-02,9.3974E-03
139.5,144.666667,4.8234E+00,6.2180E-01,3.2549E+02,5.6371E-02,1.3499E+03,4.3224E-02,9.0132E-03
144.666667,149.833333,4.6373E+00,5.9746E-01,3.1296E+02,5.4220E-02,1.2979E+03,4.1482E-02,8.6632E-03
149.833333,155,4.4393E+00,5.7197E-01,2.9950E+02,5.1873E-02,1.2421E+03,3.9751E-02,8.2851E-03
155,160.166667,4.2493E+00,5.4743E-01,2.8675E+02,4.9668E-02,1.1892E+03,3.7993E-02,7.9178E-03
160.166667,165.333333,4.0726E+00,5.2489E-01,2.7485E+02,4.7482E-02,1.1398E+03,3.6453E-02,7.6019E-03
165.333333,170.5,3.8920E+00,5.0161E-01,2.6269E+02,4.5313E-02,1.0894E+03,3.4874E-02,7.2719E-03
170.5,175.666667,3.7298E+00,4.8069E-01,2.5182E+02,4.3482E-02,1.0442E+03,3.3436E-02,6.9546E-03
175.666667,180.833333,3.5671E+00,4.5949E-01,2.4079E+02,4.1568E-02,9.9849E+02,3.1863E-02,6.6402E-03
180.833333,186,3.4080E+00,4.3881E-01,2.3002E+02,3.9567E-02,9.5390E+02,3.0388E-02,6.3531E-03
186,191.166667,3.2528E+00,4.1907E-01,2.1955E+02,3.7992E-02,9.1050E+02,2.9109E-02,6.0688E-03
191.166667,196.333333,3.1071E+00,4.0024E-01,2.0971E+02,3.6191E-02,8.6971E+02,2.7751E-02,5.7996E-03
196.333333,201.5,2.9637E+00,3.8189E-01,2.0000E+02,3.4607E-02,8.2935E+02,2.6562E-02,5.5263E-03
201.5,206.666667,2.8345E+00,3.6506E-01,1.9133E+02,3.2952E-02,7.9343E+02,2.5321E-02,5.2729E-03
206.666667,211.833333,2.7043E+00,3.4828E-01,1.8262E+02,3.1405E-02,7.5740E+02,2.4108E-02,5.0339E-03
211.833333,217,2.5811E+00,3.3259E-01,1.7429E+02,2.9937E-02,7.2284E+02,2.3098E-02,4.8155E-03
217,222.166667,2.4667E+00,3.1766E-01,1.6658E+02,2.8514E-02,6.9079E+02,2.1968E-02,4.5912E-03
222.166667,227.333333,2.3549E+00,3.0325E-01,1.5901E+02,2.7404E-02,6.5944E+02,2.1000E-02,4.3840E-03
227.333333,232.5,2.2442E+00,2.8893E-01,1.5151E+02,2.6047E-02,6.2832E+02,1.9986E-02,4.1729E-03
232.5,237.666667,2.1333E+00,2.7481E-01,1.4402E+02,2.4774E-02,5.9724E+02,1.9027E-02,3.9760E-03
237.666667,242.833333,2.0389E+00,2.6243E-01,1.3769E+02,2.3590E-02,5.7096E+02,1.8121E-02,3.7908E-03
242.833333,248,1.9424E+00,2.5015E-01,1.3117E+02,2.2594E-02,5.4394E+02,1.7350E-02,3.6144E-03
248,253.166667,1.8522E+00,2.3844E-01,1.2506E+02,2.1503E-02,5.1864E+02,1.6470E-02,3.4413E-03
253.166667,258.333333,1.7601E+00,2.2652E-01,1.1879E+02,2.0444E-02,4.9261E+02,1.5618E-02,3.2734E-03
258.333333,263.5,1.6764E+00,2.1576E-01,1.1320E+02,1.9338E-02,4.6941E+02,1.4864E-02,3.1176E-03
263.5,268.666667,1.5951E+00,2.0538E-01,1.0770E+02,1.8461E-02,4.4665E+02,1.4224E-02,2.9648E-03
268.666667,273.833333,1.5207E+00,1.9583E-01,1.0266E+02,1.7687E-02,4.2573E+02,1.3535E-02,2.8359E-03
273.833333,279,1.4446E+00,1.8612E-01,9.7542E+01,1.6739E-02,4.0451E+02,1.2929E-02,2.6877E-03
279,284.166667,1.3670E+00,1.7612E-01,9.2288E+01,1.5871E-02,3.8275E+02,1.2241E-02,2.5430E-03
284.166667,289.333333,1.3042E+00,1.6799E-01,8.8069E+01,1.5160E-02,3.6521E+02,1.1659E-02,2.4351E-03
289.333333,294.5,1.2400E+00,1.5969E-01,8.3730E+01,1.4382E-02,3.4725E+02,1.1053E-02,2.3111E-03
294.5,299.666667,1.1783E+00,1.5167E-01,7.9619E+01,1.3640E-02,3.3022E+02,1.0451E-02,2.1940E-03
299.666667,304.833333,1.1217E+00,1.4436E-01,7.5735E+01,1.2954E-02,3.1405E+02,9.9649E-03,2.0893E-03
304.833333,310,1.0635E+00,1.3689E-01,7.1824E+01,1.2234E-02,2.9786E+02,9.4603E-03,1.9774E-03
310,315.166667,1.0092E+00,1.3004E-01,6.8099E+01,1.1790E-02,2.8243E+02,9.0490E-03,1.8779E-03
315.166667,320.333333,9.6282E-01,1.2390E-01,6.5005E+01,1.1161E-02,2.6956E+02,8.5937E-03,1.7856E-03
320.333333,325.5,9.1335E-01,1.1769E-01,6.1669E+01,1.0570E-02,2.5575E+02,8.1767E-03,1.6993E-03
325.5,330.666667,8.6602E-01,1.1158E-01,5.8453E+01,1.0053E-02,2.4239E+02,7.7386E-03,1.6153E-03
330.666667,335.833333,8.2402E-01,1.0616E-01,5.5612E+01,9.5958E-03,2.3062E+02,7.3626E-03,1.5332E-03
335.833333,341,7.8503E-01,1.0115E-01,5.3016E+01,9.1692E-03,2.1986E+02,7.0135E-03,1.4629E-03
341,346.166667,7.4089E-01,9.5435E-02,4.9996E+01,8.6645E-03,2.0733E+02,6.6135E-03,1.3801E-03
346.166667,351.333333,7.0538E-01,9.0777E-02,4.7618E+01,8.2044E-03,1.9747E+02,6.2488E-03,1.3112E-03
351.333333,356.5,6.7000E-01,8.6282E-02,4.5218E+01,7.7906E-03,1.8753E+02,5.9559E-03,1.2475E-03
356.5,361.666667,6.3943E-01,8.2307E-02,4.3194E+01,7.4383E-03,1.7912E+02,5.6910E-03,1.1856E-03
361.666667,366.833333,6.0375E-01,7.7628E-02,4.0771E+01,7.0069E-03,1.6909E+02,5.3288E-03,1.1199E-03
366.833333,372,5.7430E-01,7.3875E-02,3.8760E+01,6.6419E-03,1.6073E+02,5.0782E-03,1.0673E-03
372,377.166667,5.4251E-01,6.9848E-02,3.6612E+01,6.3341E-03,1.5182E+02,4.8297E-03,1.0148E-03
377.166667,382.333333,5.1754E-01,6.6676E-02,3.4943E+01,6.0260E-03,1.4489E+02,4.6219E-03,9.6524E-04
382.333333,387.5,4.8839E-01,6.2871E-02,3.2959E+01,5.6593E-03,1.3670E+02,4.3464E-03,9.1014E-04
387.5,392.666667,4.6281E-01,5.9619E-02,3.1250E+01,5.4124E-03,1.2960E+02,4.1305E-03,8.6133E-04
392.666667,397.833333,4.4196E-01,5.6882E-02,2.9848E+01,5.1329E-03,1.2378E+02,3.9166E-03,8.1983E-04
397.833333,403,4.2190E-01,5.4213E-02,2.8506E+01,4.8347E-03,1.1821E+02,3.7148E-03,7.8016E-04
403,408.166667,3.9845E-01,5.1280E-02,2.6908E+01,4.6058E-03,1.1160E+02,3.5382E-03,7.4027E-04
408.166667,413.333333,3.7650E-01,4.8459E-02,2.5442E+01,4.3836E-03,1.0550E+02,3.3333E-03,7.0076E-04
413.333333,418.5,3.5673E-01,4.5918E-02,2.4096E+01,4.1560E-03,9.9919E+01,3.1664E-03,6.6501E-04
418.5,423.666667,3.4053E-01,4.3815E-02,2.3004E+01,3.9611E-03,9.5402E+01,3.0415E-03,6.2984E-04
423.666667,428.833333,3.2230E-01,4.1511E-02,2.1764E+01,3.7341E-03,9.0246E+01,2.8785E-03,5.9775E-04
428.833333,434,3.0444E-01,3.9243E-02,2.0556E+01,3.5185E-03,8.5249E+01,2.7512E-03,5.6537E-04
434,439.166667,2.8873E-01,3.7169E-02,1.9485E+01,3.3776E-03,8.0819E+01,2.5793E-03,5.4025E-04
439.166667,444.333333,2.7540E-01,3.5368E-02,1.8582E+01,3.1543E-03,7.7050E+01,2.4275E-03,5.0830E-04
444.333333,449.5,2.5905E-01,3.3341E-02,1.7485E+01,2.9576E-03,7.2511E+01,2.3106E-03,4.8124E-04
449.5,454.666667,2.4374E-01,3.1390E-02,1.6455E+01,2.8707E-03,6.8254E+01,2.1805E-03,4.5378E-04
454.666667,459.833333,2.3324E-01,3.0004E-02,1.5747E+01,2.6930E-03,6.5295E+01,2.0686E-03,4.3269E-04
459.833333,465,2.2054E-01,2.8434E-02,1.4894E+01,2.5452E-03,6.1777E+01,1.9888E-03,4.1030E-04
465,470.166667,2.1037E-01,2.7100E-02,1.4204E+01,2.4317E-03,5.8892E+01,1.8748E-03,3.8779E-04
470.166667,475.333333,1.9804E-01,2.5483E-02,1.3373E+01,2.2945E-03,5.5450E+01,1.7625E-03,3.6607E-04
475.333333,480.5,1.8754E-01,2.4141E-02,1.2677E+01,2.1489E-03,5.2571E+01,1.6777E-03,3.4632E-04
480.5,485.666667,1.7614E-01,2.2691E-02,1.1882E+01,2.0475E-03,4.9276E+01,1.5658E-03,3.2798E-04
485.666667,490.833333,1.6803E-01,2.1669E-02,1.1367E+01,1.9185E-03,4.7147E+01,1.5002E-03,3.1312E-04
490.833333,496,1.5923E-01,2.0483E-02,1.0757E+01,1.8013E-03,4.4613E+01,1.3972E-03,2.9774E-04
496,501.166667,1.5308E-01,1.9674E-02,1.0319E+01,1.7804E-03,4.2782E+01,1.3553E-03,2.8398E-04
501.166667,506.333333,1.4575E-01,1.8754E-02,9.8430E+00,1.6878E-03,4.0816E+01,1.2992E-03,2.7166E-04
506.333333,511.5,1.3690E-01,1.7636E-02,9.2398E+00,1.5902E-03,3.8318E+01,1.2191E-03,2.5555E-04
511.5,516.666667,1.3015E-01,1.6749E-02,8.7922E+00,1.4771E-03,3.6460E+01,1.1472E-03,2.4138E-04
*,*,*,*,Apollo-16,*,*,*,*
0,2.5,7.9527E-01,1.6908E-01,3.2695E+01,5.7195E-02,1.3359E+02,3.3655E-02,6.1190E-03
2.5,5,1.2370E+00,2.6144E-01,5.1321E+01,8.7665E-02,2.0961E+02,5.1752E-02,9.3692E-03
5,7.5,1.6535E+00,3.4891E-01,6.8817E+01,1.1668E-01,2.8104E+02,6.8963E-02,1.2438E-02
7.5,10,2.0594E+00,4.3374E-01,8.5905E+01,1.4482E-01,3.5082E+02,8.5502E-02,1.5413E-02
10,12.5,2.4652E+00,5.1805E-01,1.0305E+02,1.7274E-01,4.2085E+02,1.0198E-01,1.8304E-02
